"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_ab_scoring","b_ball","b_called_strike","b_catcher_interf","b_foul","b_foul_tip","b_game","b_gnd_into_dp","b_gnd_into_tp","b_gnd_rule_double","b_hit_by_pitch","b_hit_ground","b_hit_fly","b_hit_into_play","b_hit_line_drive","b_hit_popup","b_out_fly","b_out_ground","b_out_line_drive","b_out_popup","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","meatball_swing_percent","meatball_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","batted_ball","f_strike_percent","groundballs_percent","groundballs","flyballs_percent","flyballs","linedrives_percent","linedrives","popups_percent","popups","maxeff_arm_2b_3b_sba","n_outs_above_average","rel_league_reaction_distance","rel_league_burst_distance","rel_league_routing_distance","sprint_speed"
"Semien, Marcus",543760,2025,34,470,534,108,76,16,1,15,93,50,17.4,9.4,".230",".364",".305","0.669","0.134",".251","62","198","171","1","11","117","767","256","0","400","20","127","8","0","0","5","32","22","386","54","0","107","101","33","35",".243",".395",".295",".318",".321",".153",".309",".341",".280",".302","-0.013","-0.031","-0.023","68.4",5.3,11.9,9.4,36.2,28.6,"7.7",24,15.8,-3.9,56.6,34.8,"88.3","19.4",35.8,26,6.7,8.3,24.1,33.7,23.8,3.1,35,"98.284177358","93.274231455",75.3,13.9,23.4,50,50,123,246,50.7,1052,90.6,7.7,239,1177,467,2075,86.1,107,770,49.3,1023,41.8,868,22.6,49,44.6,36.8,18.7,386,61.6,34.5,133,33.4,129,23.1,89,9.1,35,,,,,,"28.5"
"Naylor, Josh",647304,2025,28,543,604,160,110,29,1,20,83,48,13.7,7.9,".295",".462",".353","0.815","0.167",".315","92","231","251","2","30","148","619","247","4","379","16","147","17","0","2","4","55","38","465","67","0","83","158","36","24",".271",".436",".351",".335",".335",".166",".378",".357",".344",".321",".024",".026",".016","71",17.9,16.3,13,39.2,31.2,"7.6",21,7.5,-8.3,44,31.4,"89.2","11.6",30.8,31,6.7,7.5,26.5,23.9,32.7,2.6,41.9,"100.123963879","94.317973693",72.6,13.1,37.1,38,62,149,392,52.6,1058,80.8,7.7,347,950,535,2013,86.9,91,693,47.4,955,41.1,827,22.1,53.9,42.2,39.6,18.3,465,63,45.8,213,26,121,23,107,5.2,24,,,,,,"24.4"
"Peña, Jeremy",665161,2025,27,493,543,150,101,30,2,17,93,35,17.1,6.4,".304",".477",".363","0.840","0.173",".345","62","143","235","2","20","84","551","275","0","259","12","125","9","0","1","12","56","27","403","67","0","69","137","27","20",".270",".432",".363",".334",".333",".162",".409",".370",".373",".332",".034",".045",".029","72.3",15.7,19.9,14.8,40.6,30.2,"7.6",13,10.9,-8.2,62.8,30.4,"88.9","8.9",30,33,8.2,5.7,24.8,19.4,37.2,4.5,42.9,"100.3500578","94.382263083",68.3,12.8,35.5,51.8,48.2,172,332,52.6,935,80.7,7.6,245,924,444,1779,87.2,74,576,47.4,843,42.2,751,27.1,51,42.7,37.7,19.6,403,66.6,47.9,193,23.8,96,23.3,94,5,20,,,,,,"29.6"
"Turner, Trea",607208,2025,32,589,639,179,126,31,7,15,107,43,16.7,6.7,".304",".457",".355","0.812","0.153",".350","69","221","269","7","36","143","792","317","0","447","22","141","11","0","2","5","75","27","484","77","0","85","159","39","21",".270",".410",".352",".321",".324",".140",".396",".356",".370",".329",".034",".047",".031","71.2",17.8,14.6,11.2,33.5,25.7,"7.6",18,8.1,-3,60,27.9,"89.3","9.1",34.7,28,5.8,5.6,27.1,22.3,35.7,3.5,42.1,"100.109582645","94.284521756",72.8,13.9,31.1,49.1,50.9,188,383,51.2,1233,83.1,8.1,303,1238,636,2407,86.1,119,855,48.8,1174,41.9,1008,24.8,51.4,38.6,37.4,24,484,63.6,48.3,234,23.1,112,24.2,117,4.3,21,,,,,,"30.3"
"Harris II, Michael",671739,2025,24,611,641,152,100,26,6,20,128,16,20,2.5,".249",".409",".268","0.677","0.160",".281","86","307","250","6","20","158","570","317","0","435","23","160","7","0","1","3","57","30","494","64","1","75","193","43","28",".268",".438",".289",".315",".291",".169",".349",".383",".310",".340","-0.019","-0.029","-0.026","74.3",40.7,18.8,14.4,31.2,24,"8",22,6.9,-1,50.4,30.8,"90.2","7.4",29.6,45,9.1,5.9,22.9,20.4,36.4,4.9,43.4,"103.013806132","95.674311175",71.3,11.8,43.1,44.7,55.3,213,476,50.9,1105,73.5,6.1,373,1197,451,2177,88.2,90,761,49.1,1068,43.7,949,24.4,57,35.8,40.3,23.9,494,67.8,50.6,250,21.3,105,22.3,110,5.9,29,,"8","0.1","0.6","0","28.5"
"Pages, Andy",681624,2025,24,581,624,158,103,27,1,27,135,29,21.6,4.6,".272",".461",".313","0.774","0.189",".308","86","238","268","7","14","141","715","339","0","534","20","156","9","0","1","8","43","40","452","75","0","107","117","47","22",".258",".428",".332",".316",".301",".170",".401",".380",".350",".335",".014",".033",".016","72.6",21.5,12.7,10.3,29.3,23.8,"7.9",31,7.8,-4,48.3,40.6,"88.6","16.9",38.9,38,8.4,6.6,27,29,25.4,2.9,37.2,"99.313461778","93.746068218",70.5,12.9,33.2,42.3,57.7,155,366,46.6,1102,84.2,8.5,203,1350,573,2365,87.1,115,890,53.4,1263,42.3,1001,21.5,53.1,40.7,34.1,25.2,452,65.4,35.4,160,32.5,147,27.2,123,4.9,22,,"11","0.8","1.4","-0.1","28.1"
"Ramírez, José",608070,2025,32,593,673,168,101,34,3,30,74,66,11,9.8,".283",".503",".360","0.863","0.220",".279","85","210","298","7","44","106","942","412","0","536","14","158","9","0","1","8","40","35","525","92","1","122","135","42","57",".284",".446",".359",".342",".362",".162",".376",".355",".320",".323","-0.001",".057",".017","70.9",16.2,13.2,11.4,34.6,30.1,"7.2",18,8.9,-9.4,60.7,29.8,"88.9","19.2",36.4,37,7,5.7,25.9,33.5,23.8,3.8,37,"99.107451103","93.765336362",66,9,29,27.4,72.6,110,401,51.9,1384,73.9,7.8,635,1288,584,2666,91,76,846,48.1,1282,41.4,1104,14.9,46.8,51.6,30.1,18.3,525,56.6,33.3,175,29.9,157,25.5,134,11.2,59,,,,,,"28.4"
"Pasquantino, Vinnie",686469,2025,27,621,682,164,98,33,1,32,107,49,15.7,7.2,".264",".475",".323","0.798","0.211",".271","113","289","295","0","1","198","828","434","0","486","20","160","14","0","3","7","45","42","519","76","1","112","153","48","40",".259",".463",".340",".334",".319",".205",".375",".367",".316",".311",".005",".012",".006","72.5",26.4,18.2,15.1,36.2,30.1,"7.4",12,9.7,-9.2,55.5,29.4,"90.9","16.3",33.5,56,10.8,7.9,20.8,28.3,30.1,1.7,44.7,"101.339574109","95.022747112",65.2,10,30.4,36.2,63.8,140,387,49.5,1272,77,7.1,492,1363,582,2572,90,85,847,50.5,1300,43.2,1110,18.2,48,45.1,32.9,22,519,63,38.2,198,29.7,154,24.3,126,7.9,41,,,,,,"25.5"
"Devers, Rafael",646240,2025,28,607,729,153,85,33,0,35,192,112,26.3,15.4,".252",".479",".372","0.851","0.227",".307","109","244","291","1","1","140","1134","404","0","569","37","163","16","0","4","6","40","47","419","65","1","79","139","29","17",".244",".487",".365",".367",".368",".242",".448",".452",".365",".358",".008","-0.008","-0.002","71.6",19.8,17.9,12.3,31.5,21.7,"7.6",28,10,4.5,59.5,29.9,"93.5","12.6",34.6,67,16,6.4,22.7,22.9,29.8,1.9,56.1,"104.005280383","97.028150813",70.1,28.7,25.6,39.1,60.9,157,402,51.4,1572,79.4,7.9,428,1960,486,3060,71.3,299,1043,48.6,1488,41.6,1274,31.6,47.2,35.8,37.9,26.3,419,61.2,42.7,179,30.1,126,22.9,96,4.3,18,,,,,,"25.0"
"Perez, Salvador",521692,2025,35,597,641,141,76,35,0,30,125,28,19.5,4.4,".236",".446",".284","0.730","0.210",".251","100","253","266","0","0","161","655","248","3","478","28","155","14","0","1","12","21","49","473","70","1","105","145","40","42",".269",".534",".311",".357",".314",".266",".364",".426",".298",".339","-0.033","-0.088","-0.046","72.9",30.5,17.5,13.1,32.5,24.4,"7.9",22,12.4,-5.3,56.3,34.2,"90","18.1",35.7,70,14.8,7.4,20.9,27.5,26,3.4,46.7,"102.06590789","95.318358013",74.8,17.3,42.4,41.6,58.4,214,515,53.6,1216,75.3,7.7,276,1145,563,2267,82.7,136,786,46.4,1051,41,930,26.9,57.4,45.9,33.2,20.9,473,65.7,35.1,166,32.6,154,23.3,110,9.1,43,"78.6",,,,,"24.4"
